"kanji","hanviet","radical","stroke","onyomi","level","kunyomi","meaning"
槙,SÂN,MỘC【木】,14,テン、シン,N0,まき,"cành nhỏ, xanh tráng lệ"
匱,"QUỸ,QUĨ",PHƯƠNG【匚　匸 】,14,キ,N0,ひつ,"tủ, két"
夐,QUYNH,TRUY【夂】,14,ケイ、ケン,N0,はるか,xa
蜷,QUYỀN,TRÙNG【虫】,14,ケン、ゲン,N0,まが.る、にな,"chuyển động bằng cách uốn mình, con ốc nước ngọt"
幗,QUẮC,CÂN【巾】,14,カク,N0,"","khăn chùm đầu của phụ nữ, mạng che mặt"
皹,QUÂN,BÌ【皮】,14,クン,N0,ひび、あかぎれ,"dạng khác của 皸, da bị nứt nẻ do giá lạnh"
皸,QUÂN,BÌ【皮】,14,クン,N0,ひび、あかぎれ,da bị nứt nẻ do lạnh giá
鳳,PHỤNG,KỶ【几】,14,ホウ、フウ,N0,おおとり、ふげ,con trống của chim phượng hoàng
輔,PHỤ,XA【車】,14,ホ、フ,N0,たす.ける,"giúp, xương má, 2 bên xe"
榑,PHÙ,MỘC【木】,14,フ,N0,"","cây gỗ thần (cây phù tang), chỗ mặt trời mọc ra"
孵,PHU,PHIỆT【丿】,14,フ,N0,か.えす,"ấp trứng, ủ bệnh"
瘋,PHONG,NẠNH【疒】,14,フウ、ホウ,N0,"","bệnh điên, chứng nhức đầu"
翡,PHỈ,PHI【非】,14,ヒ,N0,"","con chả (bói cá), một giống chim bắt cá có màu xanh rất đẹp"
榧,PHỈ,MỘC【木】,14,ヒ,N0,かや,"cây phỉ, cây cao xanh quanh năm, quả có dầu ăn được, gỗ cứng thường được dùng làm bàn cờ"
嫖,PHIÊU,NỮ【女】,14,ヒョウ,N0,かる.い,"khoái lạc chủ nghĩa, phóng đãng"
慓,PHIÊU,TÂM【心】,14,ヒョウ,N0,"",nhanh
緋,PHI,MỊCH【糸】,14,ヒ,N0,"",lụa đào (màu hồng)
榲,ỐT,MỘC【木】,14,オツ、オチ、オン,N0,すぎ,"cây ốt bột, thuộc loại thân cao rụng lá, giống cây táo, quả ngọt có mùi thơm, rễ cây to mập mạp, một loại tuyết tùng nhật"
斡,"OÁT,QUẢN",THẬP【十】,14,アツ、カン、ワツ,N0,めぐ.る、めぐ.らす,"bắc đẩu thất tinh quay một vòng quanh bắc cực tinh, vẽ thành đường tròn"
窪,OA,HUYỆT【穴】,14,ワ、ア,N0,くぼ.む、くぼ.み、くぼ,"lún xuống, chỗ trũng, hạ thấp"
嫩,NỘN,NỮ【女】,14,ドン、ノン,N0,わか.い,"non trẻ, yếu đuối"
爾,NHĨ,NHẤT【一】,14,ジ、ニ,N0,なじ、しか,"mày, cái đó, như thế"
慴,NHIẾP,TÂM【心】,14,シュウ、ショウ,N0,おそ.れる,"sợ hãi, xem 懾"
瘧,NGƯỢC,NẠNH【疒】,14,ギャク、ガク,N0,おこり,"cơn sốt định kỳ, sốt rét"
僞,NGỤY,NHÂN【人】,14,ギ、カ,N0,いつわ.る、いつわ.り、にせ,"nói dối, xảo trá, giả mạo, xem 偽"
愿,NGUYỆN,TÂM【心】,14,ゲン,N0,つつし.む,"cẩn thận, thận trọng"
寤,NGỘ,MIÊN【宀】,14,ゴ,N0,さ.める,"thức giấc, tỉnh ngộ"
甅,NGOI,NGÕA【瓦】,14,センチグラム,N0,せんちぐらむ,"1/100 gam"
僥,NGHIÊU,NHÂN【人】,14,ギョウ、キョウ,N0,"","vận may, truy cầu, ham muốn"
嗷,NGAO,KHẨU【口】,14,ゴウ,N0,かまびす.しい,"tiếng thú vật kêu khi đau, đói"
慝,NẶC,TÂM【心】,14,トク,N0,わる.い,"xấu, tội lỗi"
暝,MINH,NHẬT【日】,14,メイ、ミョウ,N0,くら.い、かすか,"thâm sâu, ngu đần, tối tăm, mờ nhạt, xem 冥"
麼,MI,NGHIỄM【广】,14,ビ、ミ、バ、マ、モ,N0,"","dây thừng, chão, ôm chặt"
蜜,MẬT,TRÙNG【虫】,14,ミツ、ビツ,N0,"","mật ong, mật hoa, mật đường"
貌,MẠO,TRỈ【豸】,14,ボウ、バク,N0,"","diện mạo, bề ngoài"
幔,MẠN,CÂN【巾】,14,マン、バン,N0,まく,"màn cửa, màn rũ xếp nếp"
蔓,MẠN,THẢO【艸】,14,マン、モン、バン,N0,つる、の.びる、はびこ.る,"cây mọc bò dài dưới đất, bò dài, vươn dài, mọc lan tràn trên mặt đất"
嘛,MA,KHẨU【口】,14,マ,N0,"",lúa mì
漓,"LY,LI",THỦY【水】,14,リ,N0,うす.い、し.みる,"bạc bẽo, thấm khắp"
璃,LY,NGỌC【玉、王】,14,リ,N0,"",ngọc lưu ly
竰,LY,LẬP【立】,14,センチリットル,N0,せんしりっとる,"1/100 lít"
榴,LỰU,MỘC【木】,14,ル、リュウ、リョウ,N0,ざくろ,cây lựu
瑠,LƯU,NGỌC【玉、王】,14,ル、リュウ,N0,"",ngọc lưu ly
夥,LÕA,CỔN【丨】,14,カ、ワ,N0,おびただ.しい,"mênh mông, rộng lớn, phong phú, hằng sa số"
嶐,LONG,SƠN【山】,14,リュウ,N0,やまのかたち,hình dạng của ngọn núi
寥,LIÊU,MIÊN【宀】,14,リョウ,N0,さび.しい,"cô đơn, hiu quạnh"
廖,LIÊU,NGHIỄM【广】,14,リョウ,N0,"",họ tên
嗹,LIÊN,KHẨU【口】,14,レン,N0,おしゃべり,"ba hoa, liến thoắng"
奩,LIÊM,ĐẠI【大】,14,レン,N0,はこ,"dạng khác của 匳, vật dùng chứa đồ"
綾,LĂNG,MỊCH【糸】,14,リン、リョウ,N0,あや,lụa mỏng có hoa
辣,LẠT,TÂN【辛】,14,ラツ,N0,"","cay, ác độc"
僑,KIỀU,NHÂN【人】,14,キョウ,N0,"",ở nhờ
廓,KHUẾCH,NGHIỄM【广】,14,カク,N0,くるわ、とりで,"khu vực bị bao quanh bởi công sự, doanh trại, pháo đài"
嶇,KHU,SƠN【山】,14,ク,N0,けわ.しい,dốc đứng
裹,"KHỎA,LÕA",ĐẦU【亠】,14,ホウ、カ,N0,つつ.む,"bọc, gói, che dấu"
歉,KHIỂM,KHIẾM【欠】,14,ケン、カン,N0,あきたりない,"cảm giác không bằng lòng, bất mãn, không no, đủ, còn đói"
塹,KHIẾM,THỔ【土】,14,ザン、セン,N0,ほり、あな,"hào, rãnh, mương, lỗ"
搴,KHIÊN,THỦ【手】,14,ケン,N0,と.る、ぬ.く,"lấy, kéo ra, co lại"
慷,KHẢNG,TÂM【心】,14,コウ,N0,"","khóc than, đau buồn"
僖,"HY,HI",NHÂN【人】,14,キ,N0,よろこ.ぶ,"vui, hài lòng"
嘘,HƯ,KHẨU【口】,14,キョ、コ,N0,うそ、ふ.く,"việc nói dối, sự giả dối, sự việc sai, không thích hợp"
熊,HÙNG,HỎA【火】,14,ユウ,N0,くま,con gấu
槐,HÒE,MỘC【木】,14,カイ,N0,えんじゅ,"cây hòe, họ đậu, ra hoa vàng trắng hình bướm vào đầu hạ, quả dài, thân dùng làm dụng cụ, hoa làm phẩm nhuộm, chức tam công đời nhà chu"
劃,HOẠCH,ĐAO【刀】,14,カク,N0,わ.かつ、かぎ.る,"phân chia, giới hạn"
樺,HOA,MỘC【木】,14,カ,N0,かば、かば,"cây hoa, thuộc loại cây cao, rụng lá mọc ở vùng lạnh, gỗ có nhiều dầu được dùng làm củi đốt, phần thân tre uốn cong của cây cung, màu vàng hơi đỏ"
銜,HÀM,SÁCH【彳】,14,カン,N0,くつわ,hàm ngựa
嘉,GIA,THỔ【土】,14,カ,N0,よみ.する,"đẹp, tốt, khen, vui, phước"
慟,ĐỘNG,TÂM【心】,14,ドウ、トウ,N0,なげ.く,"buồn đau, đau lòng"
僮,ĐỒNG,NHÂN【人】,14,トウ、ドウ,N0,しもべ、わらべ,"đầy tớ, trẻ con"
圖,ĐỒ,VI【囗】,14,ズ、ト,N0,え、はか.る,"bức tranh, lên kế hoạch, xem 図"
對,ĐỐI,THỐN【寸】,14,タイ、ツイ,N0,あいて、こた.える、つい、そろ.い、つれあ.い、なら.ぶ、むか.う,"đối tác, đối thủ, trả lời, đôi, cặp, cặp vợ chồng, đem hai vật xếp đối nhau, chĩa vào nhau, xem 対"
團,ĐOÀN,VI【囗】,14,ダン、トン,N0,かたまり、まる.い,"nhóm, tụ lại, quần hợp, vòng, xem 団"
摶,ĐOÀN,THỦ【手】,14,タン、セン,N0,まる.める,"vo tròn, nặn hình"
蔦,ĐIỀU,THẢO【艸】,14,チョウ,N0,つか,cây trường xuân (nhật)
蜩,ĐIÊU,TRÙNG【虫】,14,チョウ、ジョウ,N0,せみ、ひぐらし,con ve sầu
嶋,ĐẢO,SƠN【山】,14,トウ,N0,しま,"hòn đảo, xem 島"
嶌,ĐẢO,SƠN【山】,14,トウ,N0,しま,"hòn đảo, xem 島"
臺,ĐÀI,THỔ【土】,14,ダイ、タイ,N0,うてな、われ、つかさ,"dùng để đếm xe cộ, đài hoa, bệ đôn để đặt vật, xem 台"
瘍,DƯƠNG,NẠNH【疒】,14,ヨウ,N0,かさ,mụn nhọt
毓,DỤC,MẪU【毋】,14,イク,N0,そだ.つ、そだ.てる、そだち,"dạng khác của 育, được nuôi nấng, nuôi nấng, môi trường nuôi dưỡng, giáo dục cho đến lúc trưởng thành"
慂,DŨNG,TÂM【心】,14,ヨウ,N0,すす.む、すす.める,"nhắm hướng, khuyên bảo"
瘉,DŨ,NẠNH【疒】,14,ユ,N0,い.える、いや.す,"khỏi bệnh, phục hồi, chữa khỏi bệnh, xem 癒"
榕,"DUNG,DONG",MỘC【木】,14,ヨウ,N0,あこう,"cây dâu tằm liễu, mọc ở vùng đất ấm, cành sà sát đất, mọc rễ rồi phát triển thành thân cây, hoa và quả giống sung"
慵,DUNG,TÂM【心】,14,ヨウ、ショウ,N0,ものうい,"uể oải, thiếu sinh động"
睿,DUỆ,BỐC【卜】,14,エイ,N0,あき.らか,"thông minh, xem xa thấy rộng, xem 叡"
蜴,DỊCH,TRÙNG【虫】,14,エキ、ヤク,N0,"","con thằn lằn, xem 蜥"
遙,DIÊU,SƯỚC【辷】,14,ヨウ,N0,はる.かに、かる.けし,"xa, lâu, xem 遥"
鳶,DIÊN,DẶC【弋】,14,エン,N0,とび、とんび,diều hâu
瑤,DAO,NGỌC【玉、王】,14,ヨウ,N0,"","ngọc dao, tốt, quí, sáng"
廏,CỨU,NGHIỄM【广】,14,キュウ,N0,うまや,nơi tập trung và cho ngựa ăn cỏ khô
榾,CỐT,MỘC【木】,14,コツ,N0,ほた,mẩu gỗ
槓,CỐNG,MỘC【木】,14,コウ,N0,てこ,cái kích dùng để nâng vật nặng lên cao
嶂,CHƯỚNG,SƠN【山】,14,ショウ,N0,みね,đỉnh núi dốc đứng
賑,CHẨN,BỐI【貝】,14,シン,N0,にぎ.わう、にぎ.わす、にぎ.やか、と.む,"nhộn nhịp, phát đạt, phồn thịnh, cấp giúp, phát chẩn, giàu có"
嶄,CHẨM,SƠN【山】,14,ザン、サン,N0,"",núi cao dốc đứng
兢,CĂNG,NHÂN【儿】,14,キョウ,N0,つつ.しむ、おそ.れる,"thận trọng, cẩn thận"
槁,CẢO,MỘC【木】,14,コウ,N0,か.れる,"gỗ khô, khô héo"
膏,"CAO,CÁO",CAO【高】,14,コウ,N0,あぶら、うるお.す,"thịt mỡ, món ăn ngon, phần mỡ phía dưới quả tim, thuốc, thức ăn cô đặc, ân sủng, thấm nhuần"
裴,"BÙI,BỒI",Y【衣】,14,ハイ、ヒ、ベ,N0,"",y phục dài thượt
鄙,BỈ,ẤP【邑】,14,ヒ,N0,ひな、ひな.びる、いや.しい,"nhà quê, trở nên mộc mạc, trở nên quê mùa, khiêm nhường, thấp kém"
餅,BÍNH,THỰC【食】,14,ヘイ、ヒョウ,N0,もち,bánh
碧,BÍCH,THẠCH【石】,14,ヘキ、ヒャク,N0,"","ngọc xanh, xanh biếc"
箔,BẠC,TRÚC【竹】,14,ハク,N0,すだれ,"lá mỏng, sự mạ"
褓,BẢO,Y【衣】,14,ホウ、ホ,N0,むつき,tã lót của trẻ con
榜,BẢNG,MỘC【木】,14,ボウ、ホウ,N0,ゆだめ,"dụng cụ để sửa chữa phần cánh cong của cung, chèo thuyền, trượng để đánh xử tội phạm nhân, hình trượng, bảng yết thị, bộc lộ cho người khác biết"
槃,BÀN,MỘC【木】,14,ハン,N0,たら.い、たのし.む,"cái mâm gỗ, vui vầy"
駁,BÁC,MÃ【馬】,14,バク、ハク、ホク,N0,まだら、ま.じる、まぜか.えす,"con ngựa đốm, loang lổ, lốm đốm, lẫn lộn, phản bác"
鞄,BAO,CÁCH【革】,14,ハク、ホウ、ビョウ,N0,かばん,"túi, cặp xách, valy"
嫗,ẨU,NỮ【女】,14,オオ、ウ、オウ,N0,あたた.める、おうな,"hâm nóng, mẹ, phụ nữ có tuổi"
嘔,ẨU,KHẨU【口】,14,オウ、ク,N0,は.く、むかつ.く、うた.う,"nôn mửa, buồn nôn, lợm giọng"
蔭,ẨM,THẢO【艸】,14,イン、オン,N0,かげ,"bóng (cây) tối, hỗ trợ"
慇,ÂN,TÂM【心】,14,イン,N0,"","niềm nở, ân cần"
廠,XƯỞNG,NGHIỄM【广】,15,ショウ,N0,"",xưởng làm việc
樗,XƯ,MỘC【木】,15,チョ,N0,おうち,"cây xư, thuộc loại cây cao rụng lá, gỗ mềm, trắng, không dùng được vào việc gì, lá có mùi hôi, vật, người vô dụng"
樞,XU,MỘC【木】,15,スウ、ス、シュ,N0,とぼそ、からくり,"cái then cửa, cái chốt cửa, cơ chế, vật quan trọng giữ vai trò trung ương, cây xu, sao xu, ngôi sao thứ nhất trong chòm sao bắc đẩu, xem 枢"
齒,XỈ,SỈ【齒】,15,シ,N0,は、よわい、よわい.する,"dạng cũ của 歯, răng, tuổi tác, kể tuổi, lượng số tuổi của ngựa qua việc nhìn răng ngựa, kể, đếm vật cùng loại, dùng đặt tên người かた、とし、は"
幟,XÍ,CÂN【巾】,15,シ,N0,のぼり,"lá cờ, băng giấy màu, biểu ngữ"
廡,VŨ,NGHIỄM【广】,15,ブ,N0,しげ.る、ひさし,"đi bộ dưới mái che, lan tràn, cực kỳ phát triển, mái hiên"
蕪,VU,THẢO【艸】,15,ブ、ム,N0,あ.れる、かぶ、かぶら,"cỏ rác mọc bừa bãi, bỏ hoang, tình trạng lộn xộn, vật để bừa bãi, một loại củ cải trắng"
嘸,"VÔ,MÔ",KHẨU【口】,15,ブ、ム,N0,さぞ、さぞや、さぞかし,"thế nào ?, thực vậy ư ?, chắc chắn, không nghi ngờ"
憮,VÔ,TÂM【心】,15,ブ、コ,N0,"",thất vọng
蝟,VỊ,TRÙNG【虫】,15,イ,N0,はりねずみ,"con nhím, xúm xít, bề bộn lộn xộn"
漿,TƯƠNG,THỦY【水】,15,ショウ、ソウ,N0,"","tên gọi chung của các loại nước uống, dịch lỏng có thể nhễu thành sợi mảnh, vật ở trạng thái lỏng đặc"
廝,TƯ,NGHIỄM【广】,15,シ,N0,こもの,"đứa ở sai vặt, kẻ chặt củi chăn ngựa"
膵,TỤY,NHỤC【肉　月】,15,スイ,N0,"","lá lách, tụy tạng"
慫,TỦNG,TÂM【心】,15,ショウ,N0,すす.める,"khuyên răn, thuyết phục"
槭,"TÚC,SẮC",MỘC【木】,15,シュク、スク,N0,かえで,"cây túc, một loại cây cao rụng lá, rụng lá"
樅,TUNG,MỘC【木】,15,ショウ、シュ,N0,もみ,"cây linh sam, thuộc họ thông, vươn cao thẳng tắp"
慧,TUỆ,TÂM【心】,15,ケイ、エ,N0,"",minh mẫn
篆,TRIỆN,TRÚC【竹】,15,テン,N0,"",nét chữ khắc dấu
廛,TRIỀN,NGHIỄM【广】,15,テン,N0,みせ、やしき、たな,"quầy hàng, dinh thự, nhà ở, kệ, giá"
嘲,TRÀO,KHẨU【口】,15,チョウ、トウ,N0,あざけ.る,"chế giễu, nhạo báng"
幢,TRÀNG,CÂN【巾】,15,トウ,N0,はた,lá cờ
撞,TRÀNG,THỦ【手】,15,ドウ、トウ、シュ,N0,つ.く,"đâm, thọc, thúc, châm"
僻,TỊCH,NHÂN【人】,15,ヘキ、ヒ、ヘイ,N0,へき.する、ひが.む,"nơi xa vắng, vùng nông thôn, có định kiến"
瘠,TÍCH,NẠNH【疒】,15,セキ、ジャク,N0,やせ.る,"gầy, giảm trọng, thu hẹp"
翦,TIỄN,BÁT【八】,15,セン,N0,"","cái kéo, cắt tỉa bằng kéo, diệt cho hết"
憔,TIỀU,TÂM【心】,15,ショウ、セウ、ソウ,N0,やつ.れる、やせ.る,"trở nên tiều tụy, hốc hác, gầy đi"
霄,TIÊU,VŨ【雨】,15,ショウ,N0,そら,bầu trời
銷,TIÊU,KIM【金】,15,ショウ,N0,とか.す、とけ.る、け.す、きえ.る,"làm tan chảy kim loại, kim loại tan chảy, làm biến mất, tiêu hao, biến mất, mòn đi, hàng bán chạy"
殤,THƯƠNG,NGẠT【歹】,15,ショウ,N0,"","chết do bị thương, người chết vì tố quốc"
廚,THỤ,NGHIỄM【广】,15,シュウ、ズ、チュ、チュウ,N0,くりや,nhà bếp
嬋,"THUYỀN,THIỀN",NỮ【女】,15,セン,N0,"",vẻ đẹp của người con gái
醇,THUẦN,DẬU【酉】,15,ジュン、シュン,N0,"",rượu lâu năm
褪,THỐN,Y【衣】,15,トン、タイ,N0,ぬ.ぐ、あ.せる,"cởi quần áo, mờ dần (màu sắc), tàn phai (hoa), đi giật lùi"
醋,THỐ,DẬU【酉】,15,サク、ソ、ス,N0,す、す.い、す.っぱい,"dịch giấm, chua, chủ khách chén tạc chén thù với nhau"
篇,THIÊN,TRÚC【竹】,15,ヘン,N0,"","bộ sách, chương mục, biên tập"
幤,TỆ,CÂN【巾】,15,ヘイ,N0,ぬさ,"tiền giấy, giấy cắt, thói quen xấu, khiêm nhượng tiếp vĩ ngữ, quà tặng, dây thừng, giấy cúng (có vẽ hình zích zắc) hay quần áo cúng của thần đạo, xem 幣"
蔽,TẾ,THẢO【艸】,15,ヘイ、ヘツ、フツ,N0,おお.う、おお.い,"vỏ bọc, che chở, che giấu"
撕,"TÊ,TY",THỦ【手】,15,セイ、シ,N0,"",xé rách
嘶,TÊ,KHẨU【口】,15,セイ,N0,いなな.く,hí (ngựa)
蕁,TẦM,THẢO【艸】,15,ジン、ドン、タン,N0,ふか.す,"cỏ tầm ma, cành và lá có gai, tên một loại tảo biển, bốc lên, tên một loại bệnh sởi phát ban"
槧,"TẠM,THIỄM",MỘC【木】,15,サン、ザン、セン,N0,ふだ,"tấm gỗ dùng để viết khi chưa phát minh ra giấy viết, văn thư, bản in gỗ"
寫,TẢ,MIÊN【宀】,15,シャ,N0,うつ.す、うつ.る,"miêu tả, sao chép, được chụp, xem 写"
慙,TÀM,TÂM【心】,15,ザン,N0,はじ、はじ.る,"nỗi nhục, sự xấu hổ, cảm thấy xấu hổ"
撒,TÁT,THỦ【手】,15,サン、サツ,N0,ま.く,"rải rắc, vung vãi"
鋤,SỪ,KIM【金】,15,ジョ、ソ,N0,す.く、すき,"cày, bừa, cái cày, cái bừa, diệt trừ tận gốc, tuyệt diệt"
數,SỐ,PHỘC【攴　攵】,15,スウ、ス、サク、ソク、シュ,N0,かず、かぞ.える、わずらわ.しい、しばしば,"con số, đếm, thường xuyên, lặp lại, xem 数"
皺,SÔ,BÌ【皮】,15,シュウ、スウ,N0,しわ,"nếp nhăn, nếp gấp"
撰,SOẠN,THỦ【手】,15,サン、セン,N0,せん.する、えら.ぶ,"soạn văn, viết sách, lựa chọn"
蝨,SẮT,TRÙNG【虫】,15,シツ、シチ,N0,しらみ,"con chấy, con rận"
痩,SẤU,NẠNH【疒】,15,ソウ、チュウ、シュウ、シュ,N0,やせ.る,"gầy, giảm trọng"
瘡,SANG,NẠNH【疒】,15,ソウ、ショウ,N0,かさ,"mụn nhọt, vết thương, bệnh giang mai"
廣,QUẢNG,NGHIỄM【广】,15,コウ,N0,ひろ.い、ひろ.まる、ひろ.める、ひろ.がる、ひろ.げる,"rộng, lan truyền, bị khuếch tán, trở nên thời thượng, trở nên phổ chúng, làm cho lan rộng, làm cho khuếch tán, vươn ra, chạy dài ra, lan rộng, kéo dài, nới rộng, xem 広"
槨,QUÁCH,MỘC【木】,15,カク,N0,うわひつぎ,lớp ngoài của quan tài
撫,PHỦ,THỦ【手】,15,ブ、フ,N0,な.でる,"an ủi, nuôi lớn, gảy đàn"
蝮,PHÚC,TRÙNG【虫】,15,フク,N0,まむし,"rắn vi-pe, rắn hổ mang"
麩,PHU,MẠCH【麥】,15,フ,N0,ふすま,"một loại bánh mì, cám lúa mì"
誹,PHỈ,NGÔN【言】,15,ヒ、ハイ,N0,そし.る,"vu cáo, phỉ báng, phê bình"
蕃,PHIỀN,THẢO【艸】,15,ハン、バン、ホン,N0,し.げる、まがき,"""tuơi tốt, phồn thịnh, như 繁, bụi cây, cỏ rậm rạp, như <a href="""" 籬, người man rợ, chưa được giáo hóa, như <a href="""" 番"""
翩,PHIÊN,VŨ【羽】,15,ヘン,N0,ひるが.える,"tung tăng, bay lượn"
幡,PHIÊN,CÂN【巾】,15,マン、ハン、バン、ホン,N0,はた,"cờ, biến động"
廢,PHẾ,NGHIỄM【广】,15,ハイ,N0,すた.れる、すた.る,"hết hạn sử dụng, trở nên lỗi thời, phế bỏ, đình chỉ, xem 廃"
樊,PHÀN,MỘC【木】,15,ハン,N0,かご、まがき,"chuồng gà (chim) đan bằng cành, hàng rào bằng cành cây"
魄,"PHÁCH,THÁC,BẠC",BẠCH【白】,15,ハク、ヒャク、タク,N0,たま.しい,"vía, phách"
劈,PHÁCH,ĐAO【刀】,15,ヘキ、ヒャク,N0,つんざ.く、さく,"bẻ gãy, xé rách, xuyên qua, chia ra, nổ tung"
潘,PHAN,THỦY【水】,15,ハン,N0,しろみず、うずまき,"nước vo gạo, nước xoáy"
瘟,ÔN,NẠNH【疒】,15,オン,N0,"",bệnh truyền nhiễm
蝸,OA,TRÙNG【虫】,15,カ、ケ,N0,かたつむり,"ốc sên, hoa văn xoáy trôn ốc"
儂,NÙNG,NHÂN【人】,15,ドウ、ノウ,N0,わし、かれ,"tôi, anh ta"
褥,NHỤC,Y【衣】,15,ジョク,N0,しとね,"đệm, nệm, giường"
蕊,NHỊ,THẢO【艸】,15,ズイ、ヌイ,N0,しべ,"nhị, nhụy hoa, cây cỏ bùm tum"
撚,NHIÊN,THỦ【手】,15,ネン,N0,よ.る、よ.れる、より、ひね.る,"bện, kết, bị xoắn kết, dây bện, vặn, xoáy"
鴈,NHẠN,HÁN【厂】,15,ガン,N0,かり、かりがね,"ngỗng trời, xem 雁"
嫺,NHÀN,NỮ【女】,15,カン,N0,なら.う、みやびやか,"tập luyện kỹ, thanh lịch, duyên dáng, xem 嫻"
嫻,NHÀN,NỮ【女】,15,カン,N0,なら.う、みやびやか,"tập luyện kỹ, thanh lịch, duyên dáng"
毅,NGHỊ,THÙ【殳】,15,キ、ギ,N0,"",quả quyết
誼,NGHỊ,NGÔN【言】,15,ギ,N0,よし.み,"tình nghĩa, việc nên làm"
嶢,NGHIÊU,SƠN【山】,15,ギョウ,N0,けわ.しい,"dốc đứng, hiểm nghèo"
皚,NGAI,BẠCH【白】,15,ガイ、ギ、ゲ、カイ,N0,しろ.い、さむ.い,"trắng bóng, lạnh (của tuyết trắng)"
撓,NẠO,THỦ【手】,15,トウ、キョウ、コウ、ジョウ,N0,たわ.む、たわ.める、しな.う、みだ.す、みだ.れる,"cong, uốn cong, đàn hồi, dễ uốn, hỗn loạn, rơi vào hỗn loạn"
儚,MỘNG,NHÂN【人】,15,ボウ、モウ,N0,はかな.い、くら.い,"lướt qua, nhất thời, chết yểu, tức thời, vô ích, nhẹ dạ, khốn khổ, trở nên rỗng, chóng tàn"
冪,MỊCH,MỊCH【冖】,15,ベキ,N0,"","cấp số, số mũ (toán)"
廟,MIẾU,NGHIỄM【广】,15,ビョウ、ミョウ,N0,たまや、みたまや、やしろ,"lăng mộ, dinh thự, đền thờ (thần đạo)"
緬,MIẾN,MỊCH【糸】,15,メン、ベン,N0,"","sợi chỉ dài và mảnh, mảnh mai và dài, viền chăn bằng chỉ, miến điện"
憫,MẪN,TÂM【心】,15,ビン、ミン,N0,あわ.れむ、うれ.える,"thương xót, lo lắng"
賣,MẠI,THỔ【土】,15,バイ,N0,う.る、う.れる,"bán, xem 売"
罵,MẠ,VÕNG【网】,15,バ,N0,ののし.る,"nói xấu, nhục mạ"
蟒,MÃNG,TRÙNG【虫】,15,ボウ、モウ,N0,おろち、うわばみ,con trăn
瘤,LỰU,NẠNH【疒】,15,リュウ、ル,N0,こぶ,bướu
劉,LƯU,ĐAO【刀】,15,リュウ、ル,N0,"","búa rìu, giết"
諒,LƯỢNG,NGÔN【言】,15,リョウ,N0,りょう.とする,"tin thực, hiểu, lượng giá"
戮,LỤC,QUA【戈】,15,リク、リュウ、ロク、キョウ、ク,N0,ころ.す、あ.わせる,"giết chết phơi thây, gom lại"
撩,LIÊU,THỦ【手】,15,リョウ、ロウ,N0,から.げる、いど.む、もと.る,"kéo lê, thách thức, chống đối"
遼,LIÊU,SƯỚC【辷】,15,リョウ,N0,"",xa thẳm
匳,LIÊM,PHƯƠNG【匚　匸 】,15,レン,N0,はこ,"hộp gương phấn của phụ nữ, vật dùng để chứa đồ"
黎,LÊ,THỦY【水】,15,レイ、リ,N0,"","tối đen, nhiều, đông người"
凛,LẪM,BĂNG【冫】,15,リン,N0,きびし.い,"lạnh lùng, nghiêm khắc, nghiêm trọng"
凜,LẪM,BĂNG【冫】,15,リン,N0,きびし.い,"lạnh lùng, nghiêm khắc, nghiêm trọng, xem 凛"
樓,LÂU,MỘC【木】,15,ロウ,N0,たかどの、やぐら,"tòa nhà cao, tháp canh, xem 楼"
樂,LẠC,MỘC【木】,15,ガク、ラク、ゴウ,N0,たの.しい、たの.しむ、この.む,"vui vẻ, hưởng thú, yêu thích, xem 楽"
撈,LAO,THỦ【手】,15,ロウ、リョウ,N0,"",bắt cá
畿,KỲ,YÊU【幺】,15,キ,N0,"","chốn kinh kỳ, ven đô"
鋏,KIỆP,KIM【金】,15,キョウ,N0,かなばし、はさみ、さや,"cái kìm gắp kim loại nóng đỏ của thợ đúc, cái kéo, cái gươm"
儉,KIỆM,NHÂN【人】,15,ケン,N0,つま.しい、つづまやか,"tiết kiệm, xem 倹"
嬌,KIỀU,NỮ【女】,15,キョウ,N0,"","yêu kiều, đáng yêu"
蕎,KIỀU,THẢO【艸】,15,キョウ、ギョウ,N0,そば,"một loại cỏ thuốc, tính độc, có tác dụng lợi tiểu, cây kiều mạch, lúa mì đen, một loại mì sợi to làm từ bột kiều mạch của nhật"
劍,KIẾM,ĐAO【刀】,15,ケン,N0,つるぎ,"kiếm, gươm"
慳,KIÊN,TÂM【心】,15,ケン、カン,N0,おし.む,"lấy làm tiếc, tiết kiệm, keo kiệt"
蝌,KHOA,TRÙNG【虫】,15,カ,N0,"","con nòng nọc, xem 蚪"
噐,KHÍ,KHẨU【口】,15,キ,N0,うつわ,"bình chứa, thiết bị, dụng cụ, xem 器"
憇,KHẾ,TÂM【心】,15,ケイ,N0,いこ.い、いこ.う,"nghỉ ngơi, nghỉ, xem 憩"
餉,HƯỚNG,THỰC【食】,15,ショウ,N0,かれい.い、おく.る、やしな.う,"hộc lương, khoảng thời gian ngắn để ăn, quân lương, cung cấp lương thực"
墟,HƯ,THỔ【土】,15,キョ,N0,あと,tàn tích đổ nát
潰,HỘI,THỦY【水】,15,カイ、エ,N0,つぶ.す、つい.える、つぶ.れる,"vỡ vụn, sụp đổ, bị đập tan, bị phá sản"
槲,HỘC,MỘC【木】,15,コク,N0,かしわ,"cây hộc, một loại cây sồi lá to"
